Time,Talign,B,Location,Source,Dataset ,Notes,Species,Interval,Relative,DensityCon,Full_census,Census_keep,Census_notes,Time_collected,Dead_trees
1610,1610,0.37899431,"Shoshone Mt, NV",Miller et al 2008 RMRS ,1,mixed age stands,PiMo-JuOs,10,1,40.3,y,y,"trees larger than 6cm basal diameter cored, trees smaller cross sections collected. Estab values in percent (rather than proportion so density coversion is total #/10",2001,n
1620,1620,0,"Shoshone Mt, NV",Miller et al 2008 RMRS ,1,mixed age stands,PiMo-JuOs,10,1,40.3,y,y,"trees larger than 6cm basal diameter cored, trees smaller cross sections collected. Estab values in percent (rather than proportion so density coversion is total #/10",2001,n
1630,1630,0,"Shoshone Mt, NV",Miller et al 2008 RMRS ,1,mixed age stands,PiMo-JuOs,10,1,40.3,y,y,"trees larger than 6cm basal diameter cored, trees smaller cross sections collected. Estab values in percent (rather than proportion so density coversion is total #/10",2001,n
1640,1640,0.56645174,"Shoshone Mt, NV",Miller et al 2008 RMRS ,1,mixed age stands,PiMo-JuOs,10,1,40.3,y,y,"trees larger than 6cm basal diameter cored, trees smaller cross sections collected. Estab values in percent (rather than proportion so density coversion is total #/10",2001,n
1650,1650,0,"Shoshone Mt, NV",Miller et al 2008 RMRS ,1,mixed age stands,PiMo-JuOs,10,1,40.3,y,y,"trees larger than 6cm basal diameter cored, trees smaller cross sections collected. Estab values in percent (rather than proportion so density coversion is total #/10",2001,n
1660,1660,0,"Shoshone Mt, NV",Miller et al 2008 RMRS ,1,mixed age stands,PiMo-JuOs,10,1,40.3,y,y,"trees larger than 6cm basal diameter cored, trees smaller cross sections collected. Estab values in percent (rather than proportion so density coversion is total #/10",2001,n
1670,1670,0.56411495,"Shoshone Mt, NV",Miller et al 2008 RMRS ,1,mixed age stands,PiMo-JuOs,10,1,40.3,y,y,"trees larger than 6cm basal diameter cored, trees smaller cross sections collected. Estab values in percent (rather than proportion so density coversion is total #/10",2001,n
1680,1680,0.56332282,"Shoshone Mt, NV",Miller et al 2008 RMRS ,1,mixed age stands,PiMo-JuOs,10,1,40.3,y,y,"trees larger than 6cm basal diameter cored, trees smaller cross sections collected. Estab values in percent (rather than proportion so density coversion is total #/10",2001,n
1690,1690,0,"Shoshone Mt, NV",Miller et al 2008 RMRS ,1,mixed age stands,PiMo-JuOs,10,1,40.3,y,y,"trees larger than 6cm basal diameter cored, trees smaller cross sections collected. Estab values in percent (rather than proportion so density coversion is total #/10",2001,n
1700,1700,0.37186515,"Shoshone Mt, NV",Miller et al 2008 RMRS ,1,mixed age stands,PiMo-JuOs,10,1,40.3,y,y,"trees larger than 6cm basal diameter cored, trees smaller cross sections collected. Estab values in percent (rather than proportion so density coversion is total #/10",2001,n
1710,1710,0.37103341,"Shoshone Mt, NV",Miller et al 2008 RMRS ,1,mixed age stands,PiMo-JuOs,10,1,40.3,y,y,"trees larger than 6cm basal diameter cored, trees smaller cross sections collected. Estab values in percent (rather than proportion so density coversion is total #/10",2001,n
1720,1720,0.56015431,"Shoshone Mt, NV",Miller et al 2008 RMRS ,1,mixed age stands,PiMo-JuOs,10,1,40.3,y,y,"trees larger than 6cm basal diameter cored, trees smaller cross sections collected. Estab values in percent (rather than proportion so density coversion is total #/10",2001,n
1730,1730,0.55936218,"Shoshone Mt, NV",Miller et al 2008 RMRS ,1,mixed age stands,PiMo-JuOs,10,1,40.3,y,y,"trees larger than 6cm basal diameter cored, trees smaller cross sections collected. Estab values in percent (rather than proportion so density coversion is total #/10",2001,n
1740,1740,0.36873624,"Shoshone Mt, NV",Miller et al 2008 RMRS ,1,mixed age stands,PiMo-JuOs,10,1,40.3,y,y,"trees larger than 6cm basal diameter cored, trees smaller cross sections collected. Estab values in percent (rather than proportion so density coversion is total #/10",2001,n
1750,1750,0.90587918,"Shoshone Mt, NV",Miller et al 2008 RMRS ,1,mixed age stands,PiMo-JuOs,10,1,40.3,y,y,"trees larger than 6cm basal diameter cored, trees smaller cross sections collected. Estab values in percent (rather than proportion so density coversion is total #/10",2001,n
1760,1760,0,"Shoshone Mt, NV",Miller et al 2008 RMRS ,1,mixed age stands,PiMo-JuOs,10,1,40.3,y,y,"trees larger than 6cm basal diameter cored, trees smaller cross sections collected. Estab values in percent (rather than proportion so density coversion is total #/10",2001,n
1770,1770,0.55619366,"Shoshone Mt, NV",Miller et al 2008 RMRS ,1,mixed age stands,PiMo-JuOs,10,1,40.3,y,y,"trees larger than 6cm basal diameter cored, trees smaller cross sections collected. Estab values in percent (rather than proportion so density coversion is total #/10",2001,n
1780,1780,0.55544114,"Shoshone Mt, NV",Miller et al 2008 RMRS ,1,mixed age stands,PiMo-JuOs,10,1,40.3,y,y,"trees larger than 6cm basal diameter cored, trees smaller cross sections collected. Estab values in percent (rather than proportion so density coversion is total #/10",2001,n
1790,1790,1.12422965,"Shoshone Mt, NV",Miller et al 2008 RMRS ,1,mixed age stands,PiMo-JuOs,10,1,40.3,y,y,"trees larger than 6cm basal diameter cored, trees smaller cross sections collected. Estab values in percent (rather than proportion so density coversion is total #/10",2001,n
1800,1800,1.12339792,"Shoshone Mt, NV",Miller et al 2008 RMRS ,1,mixed age stands,PiMo-JuOs,10,1,40.3,y,y,"trees larger than 6cm basal diameter cored, trees smaller cross sections collected. Estab values in percent (rather than proportion so density coversion is total #/10",2001,n
1810,1810,1.122685,"Shoshone Mt, NV",Miller et al 2008 RMRS ,1,mixed age stands,PiMo-JuOs,10,1,40.3,y,y,"trees larger than 6cm basal diameter cored, trees smaller cross sections collected. Estab values in percent (rather than proportion so density coversion is total #/10",2001,n
1820,1820,0.55223301,"Shoshone Mt, NV",Miller et al 2008 RMRS ,1,mixed age stands,PiMo-JuOs,10,1,40.3,y,y,"trees larger than 6cm basal diameter cored, trees smaller cross sections collected. Estab values in percent (rather than proportion so density coversion is total #/10",2001,n
1830,1830,1.43755644,"Shoshone Mt, NV",Miller et al 2008 RMRS ,1,mixed age stands,PiMo-JuOs,10,1,40.3,y,y,"trees larger than 6cm basal diameter cored, trees smaller cross sections collected. Estab values in percent (rather than proportion so density coversion is total #/10",2001,n
1840,1840,1.65824369,"Shoshone Mt, NV",Miller et al 2008 RMRS ,1,mixed age stands,PiMo-JuOs,10,1,40.3,y,y,"trees larger than 6cm basal diameter cored, trees smaller cross sections collected. Estab values in percent (rather than proportion so density coversion is total #/10",2001,n
1850,1850,0.36002281,"Shoshone Mt, NV",Miller et al 2008 RMRS ,1,mixed age stands,PiMo-JuOs,10,1,40.3,y,y,"trees larger than 6cm basal diameter cored, trees smaller cross sections collected. Estab values in percent (rather than proportion so density coversion is total #/10",2001,n
1860,1860,2.19463412,"Shoshone Mt, NV",Miller et al 2008 RMRS ,1,mixed age stands,PiMo-JuOs,10,1,40.3,y,y,"trees larger than 6cm basal diameter cored, trees smaller cross sections collected. Estab values in percent (rather than proportion so density coversion is total #/10",2001,n
1870,1870,1.43438792,"Shoshone Mt, NV",Miller et al 2008 RMRS ,1,mixed age stands,PiMo-JuOs,10,1,40.3,y,y,"trees larger than 6cm basal diameter cored, trees smaller cross sections collected. Estab values in percent (rather than proportion so density coversion is total #/10",2001,n
1880,1880,4.37659416,"Shoshone Mt, NV",Miller et al 2008 RMRS ,1,mixed age stands,PiMo-JuOs,10,1,40.3,y,y,"trees larger than 6cm basal diameter cored, trees smaller cross sections collected. Estab values in percent (rather than proportion so density coversion is total #/10",2001,n
1890,1890,2.7301928,"Shoshone Mt, NV",Miller et al 2008 RMRS ,1,mixed age stands,PiMo-JuOs,10,1,40.3,y,y,"trees larger than 6cm basal diameter cored, trees smaller cross sections collected. Estab values in percent (rather than proportion so density coversion is total #/10",2001,n
1900,1900,3.26741496,"Shoshone Mt, NV",Miller et al 2008 RMRS ,1,mixed age stands,PiMo-JuOs,10,1,40.3,y,y,"trees larger than 6cm basal diameter cored, trees smaller cross sections collected. Estab values in percent (rather than proportion so density coversion is total #/10",2001,n
1910,1910,5.7982288,"Shoshone Mt, NV",Miller et al 2008 RMRS ,1,mixed age stands,PiMo-JuOs,10,1,40.3,y,y,"trees larger than 6cm basal diameter cored, trees smaller cross sections collected. Estab values in percent (rather than proportion so density coversion is total #/10",2001,n
1920,1920,6.90511082,"Shoshone Mt, NV",Miller et al 2008 RMRS ,1,mixed age stands,PiMo-JuOs,10,1,40.3,y,y,"trees larger than 6cm basal diameter cored, trees smaller cross sections collected. Estab values in percent (rather than proportion so density coversion is total #/10",2001,n
1930,1930,7.44225377,"Shoshone Mt, NV",Miller et al 2008 RMRS ,1,mixed age stands,PiMo-JuOs,10,1,40.3,y,y,"trees larger than 6cm basal diameter cored, trees smaller cross sections collected. Estab values in percent (rather than proportion so density coversion is total #/10",2001,n
1940,1940,7.66305984,"Shoshone Mt, NV",Miller et al 2008 RMRS ,1,mixed age stands,PiMo-JuOs,10,1,40.3,y,y,"trees larger than 6cm basal diameter cored, trees smaller cross sections collected. Estab values in percent (rather than proportion so density coversion is total #/10",2001,n
1950,1950,9.30779772,"Shoshone Mt, NV",Miller et al 2008 RMRS ,1,mixed age stands,PiMo-JuOs,10,1,40.3,y,y,"trees larger than 6cm basal diameter cored, trees smaller cross sections collected. Estab values in percent (rather than proportion so density coversion is total #/10",2001,n
1960,1960,10.1930815,"Shoshone Mt, NV",Miller et al 2008 RMRS ,1,mixed age stands,PiMo-JuOs,10,1,40.3,y,y,"trees larger than 6cm basal diameter cored, trees smaller cross sections collected. Estab values in percent (rather than proportion so density coversion is total #/10",2001,n
1970,1970,10.3821628,"Shoshone Mt, NV",Miller et al 2008 RMRS ,1,mixed age stands,PiMo-JuOs,10,1,40.3,y,y,"trees larger than 6cm basal diameter cored, trees smaller cross sections collected. Estab values in percent (rather than proportion so density coversion is total #/10",2001,n
1980,1980,8.00791337,"Shoshone Mt, NV",Miller et al 2008 RMRS ,1,mixed age stands,PiMo-JuOs,10,1,40.3,y,y,"trees larger than 6cm basal diameter cored, trees smaller cross sections collected. Estab values in percent (rather than proportion so density coversion is total #/10",2001,n
1990,1990,3.29197098,"Shoshone Mt, NV",Miller et al 2008 RMRS ,1,mixed age stands,PiMo-JuOs,10,1,40.3,y,y,"trees larger than 6cm basal diameter cored, trees smaller cross sections collected. Estab values in percent (rather than proportion so density coversion is total #/10",2001,n
2000,2000,3.60767415,"Shoshone Mt, NV",Miller et al 2008 RMRS ,1,mixed age stands,PiMo-JuOs,10,1,40.3,y,n,"trees larger than 6cm basal diameter cored, trees smaller cross sections collected. Estab values in percent (rather than proportion so density coversion is total #/10",2001,n
1620,1620,0.35714286,"East Tintic, UT",Miller et al 2008 RMRS ,2,mixed age stands,PiMo-JuOs,10,1,95.2,y,y,"trees larger than 6cm basal diameter cored, trees smaller cross sections collected. Estab values in percent (rather than proportion so density coversion is total #/10",2001,n
1630,1630,0,"East Tintic, UT",Miller et al 2008 RMRS ,2,mixed age stands,PiMo-JuOs,10,1,95.2,y,y,"trees larger than 6cm basal diameter cored, trees smaller cross sections collected. Estab values in percent (rather than proportion so density coversion is total #/10",2001,n
1640,1640,0,"East Tintic, UT",Miller et al 2008 RMRS ,2,mixed age stands,PiMo-JuOs,10,1,95.2,y,y,"trees larger than 6cm basal diameter cored, trees smaller cross sections collected. Estab values in percent (rather than proportion so density coversion is total #/10",2001,n
1650,1650,0,"East Tintic, UT",Miller et al 2008 RMRS ,2,mixed age stands,PiMo-JuOs,10,1,95.2,y,y,"trees larger than 6cm basal diameter cored, trees smaller cross sections collected. Estab values in percent (rather than proportion so density coversion is total #/10",2001,n
1660,1660,0.25,"East Tintic, UT",Miller et al 2008 RMRS ,2,mixed age stands,PiMo-JuOs,10,1,95.2,y,y,"trees larger than 6cm basal diameter cored, trees smaller cross sections collected. Estab values in percent (rather than proportion so density coversion is total #/10",2001,n
1670,1670,0.35714286,"East Tintic, UT",Miller et al 2008 RMRS ,2,mixed age stands,PiMo-JuOs,10,1,95.2,y,y,"trees larger than 6cm basal diameter cored, trees smaller cross sections collected. Estab values in percent (rather than proportion so density coversion is total #/10",2001,n
1680,1680,0.67857143,"East Tintic, UT",Miller et al 2008 RMRS ,2,mixed age stands,PiMo-JuOs,10,1,95.2,y,y,"trees larger than 6cm basal diameter cored, trees smaller cross sections collected. Estab values in percent (rather than proportion so density coversion is total #/10",2001,n
1690,1690,0.35714286,"East Tintic, UT",Miller et al 2008 RMRS ,2,mixed age stands,PiMo-JuOs,10,1,95.2,y,y,"trees larger than 6cm basal diameter cored, trees smaller cross sections collected. Estab values in percent (rather than proportion so density coversion is total #/10",2001,n
1700,1700,0.67857143,"East Tintic, UT",Miller et al 2008 RMRS ,2,mixed age stands,PiMo-JuOs,10,1,95.2,y,y,"trees larger than 6cm basal diameter cored, trees smaller cross sections collected. Estab values in percent (rather than proportion so density coversion is total #/10",2001,n
1710,1710,0.25,"East Tintic, UT",Miller et al 2008 RMRS ,2,mixed age stands,PiMo-JuOs,10,1,95.2,y,y,"trees larger than 6cm basal diameter cored, trees smaller cross sections collected. Estab values in percent (rather than proportion so density coversion is total #/10",2001,n
1720,1720,0.39285714,"East Tintic, UT",Miller et al 2008 RMRS ,2,mixed age stands,PiMo-JuOs,10,1,95.2,y,y,"trees larger than 6cm basal diameter cored, trees smaller cross sections collected. Estab values in percent (rather than proportion so density coversion is total #/10",2001,n
1730,1730,0.67857143,"East Tintic, UT",Miller et al 2008 RMRS ,2,mixed age stands,PiMo-JuOs,10,1,95.2,y,y,"trees larger than 6cm basal diameter cored, trees smaller cross sections collected. Estab values in percent (rather than proportion so density coversion is total #/10",2001,n
