Location,Source,Dataset ,Species,lat,long,epsg,Notes
"Shoshone Mt, NV",Miller et al 2008 RMRS ,1,PiMo-JuOs,38.89863751,-117.542543,4326,
"East Tintic, UT",Miller et al 2008 RMRS ,2,PiMo-JuOs,39.88641165,-112.0605116,4326,
"Juniper Mountain, ID",Miller et al 2008 RMRS ,3,JuOc,42.44399228,-116.853095,4326,
"Mt Irish, NV",Biondi and Bradley 2013,4,PiMo,37.6440349,-115.4011141,4326,
"Clover Mountains, NV",Biondi and Bradley 2013,5,PiMo,37.40398465,-114.3269357,4326,
"No Man's Mesa, UT",Barger et al. 2009,6,PiEd,37.32215526,-112.1115775,4326,Locations are close
"Deer Spring Point, UT",Barger et al. 2009,7,PiEd,37.29071199,-112.1667562,4326,Locations are close
"Shoshone Mt, NV",Bauer 2005,8,PiMo-JuOs,39.10547715,-117.5128455,4326,
"Uncompahgre Plateau, CO",Shinneman and Baker 2009,9,PiEd-JuOs,38.37483245,-108.1257778,4326,
"Anderson Mesa, AZ",Landis and Bailey 2005,11,JuOs-PiEd,35.05525434,-111.4404617,4326,Locations are close or in distinguishable from each other
"Anderson Mesa, AZ",Landis and Bailey 2005,13,JuOs-PiEd,35.05525434,-111.4404617,4326,Locations are close or in distinguishable from each other
"Anderson Mesa, AZ",Landis and Bailey 2005,15,JuOs-PiEd,35.05525434,-111.4404617,4326,Locations are close or in distinguishable from each other
"Dominguez WSA, Uncompaghre Plateau, CO",Eisenhart 2004,17,PiEd,38.8009069,-108.3888337,4326,
"Needle Range, Utah",Tausch and West 1988,18,JuOs-PiMo,38.26686616,-113.8752537,4326,
"Lava Beds, National Monument, CA",Miller et al 2003,20,JuOc,41.77419943,-121.5071738,4326,
"Mocassin Mesa, Mesa Verde National Park, CO",Floyd et al. 2004,21,PiEd,37.22622997,-108.4608466,4326,Locations are close or in distinguishable from each other
"Big Mesa Fire, Mesa Verde National Park, CO",Floyd et al. 2004,22,PiEd,37.22622997,-108.4608466,4326,Locations are close or in distinguishable from each other
"Lower Chapin Mesa, Mesa Verde NP, CO",Floyd et al. 2004,23,PiEd,37.22622997,-108.4608466,4326,Locations are close or in distinguishable from each other
"Park Entrance, Mesa Verde NP, CO",Floyd et al. 2004,24,PiEd,37.22622997,-108.4608466,4326,Locations are close or in distinguishable from each other
"Park Mesa, Mesa Verde NP, CO",Floyd et al. 2004,25,PiEd,37.22622997,-108.4608466,4326,Locations are close or in distinguishable from each other
"Cedar Tree Tower, Mesa Verde NP, CO",Floyd et al. 2004,26,PiEd,37.22622997,-108.4608466,4326,Locations are close or in distinguishable from each other
"Waters Canyon Menefee Shale, Mesa Verde NP, CO",Floyd et al. 2004,27,PiEd,37.22622997,-108.4608466,4326,Locations are close or in distinguishable from each other
"Wetherill Mesa, Mesa Verde NP, CO",Floyd et al. 2004,28,PiEd,37.22622997,-108.4608466,4326,Locations are close or in distinguishable from each other
