Year,B
1770,0.996884735
1775,0
1780,0
1785,0
1790,0
1795,0
1800,0
1805,1.028037383
1810,0
1815,0.996884735
1820,0
1825,0.996884735
1830,0.996884735
1835,0
1840,0
1845,0
1850,0
1855,0.996884735
1860,0
1865,0
1870,0.996884735
1875,0.996884735
1880,0
1885,0.996884735
1890,0
1895,0.996884735
1900,2.990654206
1905,1.99376947
1910,1.99376947
1915,1.028037383
1920,0
1925,2.990654206
1930,0.996884735
1935,0
1940,2.990654206
1945,3.987538941
1950,6.978193146
1955,4.984423676
1960,1.028037383
1965,8.971962617
1970,4.984423676
1975,5.015576324
1980,5.981308411
1985,12.95950156
