Year,MaxTemp
1600,14.88
1601,14.71
1602,15.16
1603,14.96
1604,14.73
1605,14.41
1606,14.9
1607,15.13
1608,14.7
1609,14.54
1610,14.75
1611,15.09
1612,15.02
1613,15.68
1614,15.24
1615,15.31
1616,15.13
1617,14.85
1618,14.84
1619,15.36
1620,14.81
1621,15.07
1622,14.99
1623,14.72
1624,15.15
1625,15.12
1626,15.24
1627,15.67
1628,15.91
1629,15.63
1630,15.35
1631,15.44
1632,15.14
1633,15.53
1634,15.31
1635,15.07
1636,15
1637,14.96
1638,14.63
1639,14.75
1640,14.7
1641,14.43
1642,14.18
1643,13.87
1644,13.99
1645,14.03
1646,13.57
1647,13.97
1648,14.3
1649,14.33
1650,14.62
1651,14.3
1652,14.45
1653,14.81
1654,15.25
1655,15.6
1656,15.46
1657,15.66
1658,15.51
1659,15.35
1660,15.6
1661,15.01
1662,14.94
1663,15.36
1664,14.9
1665,15.06
1666,14.77
1667,14.87
1668,14.66
1669,14.51
1670,14.73
1671,14.54
1672,14.76
1673,14.73
1674,15.08
1675,14.97
1676,14.71
1677,14.91
1678,14.77
1679,14.41
1680,13.85
1681,14.91
1682,14.74
1683,15.01
1684,15.17
1685,15.33
1686,15.17
1687,14.86
1688,15.51
1689,15.93
1690,15.66
1691,15.82
1692,15.77
1693,16.33
1694,16.44
1695,15.74
1696,15.69
1697,15.69
1698,15.39
1699,15.19
1700,15.15
1701,14.73
1702,14.78
1703,15.13
1704,14.93
1705,14.94
1706,15.23
1707,15.39
1708,15.82
1709,15.78
1710,15.53
1711,16.12
1712,15.83
1713,15.91
1714,15.94
1715,15.83
1716,16.39
1717,16.03
1718,16.39
1719,15.93
1720,16.39
1721,15.76
1722,15.17
1723,14.95
1724,14.75
1725,14.59
1726,14.63
1727,15.41
1728,15.38
1729,15.43
1730,15.38
1731,15.59
1732,15.05
1733,15.63
1734,15.45
1735,15.48
1736,15.69
1737,15.75
1738,15.81
1739,15.65
1740,16.76
1741,16.18
1742,15.91
1743,16.12
1744,15.85
1745,15.39
1746,15.33
1747,14.72
1748,14.96
1749,14.96
1750,15.32
1751,14.9
1752,14.95
1753,15.66
1754,15.59
1755,16.13
1756,16.62
1757,15.74
1758,15.88
1759,16.1
1760,15.87
1761,15.54
1762,15.3
1763,14.79
1764,15.23
1765,14.52
1766,14.95
1767,14.42
1768,14.64
1769,14.35
1770,14.62
1771,14.99
1772,15.45
1773,15.51
1774,15.04
1775,15.28
1776,15.39
1777,15.77
1778,15.7
1779,15.96
1780,15.77
1781,15.48
1782,15.83
1783,15.56
1784,15.64
1785,15.84
1786,16.06
1787,16.99
1788,16.44
1789,16.44
1790,16.13
1791,15.97
1792,15.8
1793,15.87
1794,15.46
1795,15.67
1796,15.49
1797,15.9
1798,15.73
1799,15.53
1800,15.6
1801,15.76
1802,15.36
1803,15.16
1804,15.26
1805,15.49
1806,15.95
1807,15.78
1808,15.48
1809,15.08
1810,14.46
1811,14.57
1812,14.83
1813,14.75
1814,14.52
1815,14.54
1816,14.65
1817,14.24
1818,14.49
1819,14.57
1820,14.67
1821,14.8
1822,15.23
1823,15.17
1824,14.99
1825,14.99
1826,15.6
1827,15.37
1828,15.1
1829,14.85
1830,15.24
1831,14.97
1832,15.27
1833,15.29
1834,15.3
1835,14.82
1836,15.26
1837,15.05
1838,14.54
1839,13.94
1840,14.23
1841,14.28
1842,14.73
1843,14.31
1844,14.45
1845,14.76
1846,14.93
1847,15.51
1848,15.27
1849,14.73
1850,14.78
1851,15.17
1852,15.01
1853,15.01
1854,14.8
1855,15.4
1856,15.07
1857,15.35
1858,15.52
1859,15.43
1860,15.24
1861,15.24
1862,14.97
1863,15.44
1864,15.15
1865,15.61
1866,15.63
1867,14.51
1868,15.04
1869,15.1
1870,15.21
1871,15.03
1872,15.55
1873,15.84
1874,15.67
1875,15.46
1876,15.33
1877,15.54
1878,14.68
1879,15.03
1880,15.38
1881,15.6
1882,15.07
1883,14.68
1884,14.87
1885,15.15
1886,15.14
1887,15.2
1888,15.18
1889,15.29
1890,14.98
1891,15.14
1892,15.41
1893,15.47
1894,15.32
1895,15.22
1896,15.63
1897,15.85
1898,15.2
1899,15.49
1900,15.78
1901,15.41
1902,15.87
1903,15.47
1904,15.24
1905,15.47
1906,16.11
1907,15.53
1908,15.18
1909,15.17
1910,15.6
1911,15.03
1912,14.96
1913,14.57
1914,14.85
1915,14.45
1916,14.35
1917,14.37
1918,14.73
1919,14.7
1920,14.56
1921,15.14
1922,14.68
1923,14.47
1924,14.93
1925,14.74
1926,14.7
1927,14.6
1928,14.41
1929,14.52
1930,14.91
1931,15.01
1932,15.57
1933,15.55
1934,15.49
1935,15.38
1936,15.83
1937,15.87
1938,15.34
1939,15.54
1940,15.61
1941,15.49
1942,15.57
1943,16.01
1944,15.6
1945,15.72
1946,15.7
1947,15.85
1948,15.54
1949,15.61
1950,15.79
1951,15.79
1952,15.94
1953,16.59
1954,16.22
1955,16.13
1956,16.95
1957,16.57
1958,16.85
1959,16.38
1960,15.79
1961,16.17
1962,16
1963,15.76
1964,15.93
1965,15.77
1966,15.28
1967,15.43
1968,15.87
1969,15.5
1970,15.64
1971,15.29
1972,15.42
1973,15.26
1974,16.06
1975,16.37
1976,16.6
1977,16.42
1978,16.04
1979,16.41
1980,16.92
1981,17.04
1982,16.27
1983,16.02
1984,16.03
1985,15.98
1986,15.76
1987,16.68
1988,15.92
1989,16.18
1990,16.51
1991,16.88
1992,16.41
1993,16.19
1994,15.74
1995,16.35
1996,16.43
